"Country","country_code","latitude","longitude","Month","Date","Depth","Day"
"Afghanistan","AF",33.93911,67.709953,"June",2014-06-01,1.5,1
"Afghanistan","AF",33.93911,67.709953,"June",2011-06-01,2.5,1
"Afghanistan","AF",33.93911,67.709953,"June",2012-06-01,0.3,1
"Australia","AU",-25.274398,133.775136,"March",2017-03-01,1.7,1
"Australia","AU",-25.274398,133.775136,"March",2018-03-01,1.1,1
"Australia","AU",-25.274398,133.775136,"June",2007-06-01,-1.3,1
"Australia","AU",-25.274398,133.775136,"March",2015-03-01,0.8,1
"Australia","AU",-25.274398,133.775136,"March",2016-03-01,1.8,1
"Australia","AU",-25.274398,133.775136,"June",2010-06-01,0.4,1
"Australia","AU",-25.274398,133.775136,"June",2011-06-01,-0.5,1
"Australia","AU",-25.274398,133.775136,"March",2019-03-01,1.9,1
"Australia","AU",-25.274398,133.775136,"April",2000-04-01,0.2,1
"Australia","AU",-25.274398,133.775136,"April",2001-04-01,0.3,1
"Australia","AU",-25.274398,133.775136,"April",2002-04-01,1.8,1
"Australia","AU",-25.274398,133.775136,"April",2003-04-01,0.9,1
"Australia","AU",-25.274398,133.775136,"April",2004-04-01,1,1
"Australia","AU",-25.274398,133.775136,"April",2005-04-01,2.5,1
"Australia","AU",-25.274398,133.775136,"April",2006-04-01,-0.5,1
"Australia","AU",-25.274398,133.775136,"May",2000-05-01,-0.7,1
"Australia","AU",-25.274398,133.775136,"June",2008-06-01,1.1,1
"Australia","AU",-25.274398,133.775136,"June",2009-06-01,0.7,1
"Australia","AU",-25.274398,133.775136,"July",2003-07-01,1,1
"Australia","AU",-25.274398,133.775136,"July",2004-07-01,0.5,1
"Australia","AU",-25.274398,133.775136,"July",2005-07-01,1.3,1
"Australia","AU",-25.274398,133.775136,"July",2006-07-01,0.2,1
"Australia","AU",-25.274398,133.775136,"July",2007-07-01,0.4,1
"Australia","AU",-25.274398,133.775136,"July",2008-07-01,0.4,1
"Australia","AU",-25.274398,133.775136,"July",2009-07-01,0.9,1
"Australia","AU",-25.274398,133.775136,"July",2010-07-01,1.2,1
"Australia","AU",-25.274398,133.775136,"July",2011-07-01,0.7,1
"Australia","AU",-25.274398,133.775136,"July",2012-07-01,-0.1,1
"Australia","AU",-25.274398,133.775136,"July",2013-07-01,1.6,1
"Australia","AU",-25.274398,133.775136,"July",2014-07-01,0.5,1
"Australia","AU",-25.274398,133.775136,"July",2015-07-01,0.6,1
"Australia","AU",-25.274398,133.775136,"July",2016-07-01,1.1,1
"Australia","AU",-25.274398,133.775136,"July",2017-07-01,1.8,1
"Australia","AU",-25.274398,133.775136,"July",2018-07-01,1.2,1
"Australia","AU",-25.274398,133.775136,"July",2019-07-01,1.5,1
"Australia","AU",-25.274398,133.775136,"August",2000-08-01,0.3,1
"Australia","AU",-25.274398,133.775136,"August",2001-08-01,0.3,1
"Australia","AU",-25.274398,133.775136,"August",2002-08-01,0.4,1
"Australia","AU",-25.274398,133.775136,"August",2003-08-01,0.7,1
"Australia","AU",-25.274398,133.775136,"August",2004-08-01,0.1,1
"Australia","AU",-25.274398,133.775136,"August",2005-08-01,0.6,1
"Australia","AU",-25.274398,133.775136,"August",2006-08-01,1.2,1
"Australia","AU",-25.274398,133.775136,"August",2007-08-01,1.2,1
"Australia","AU",-25.274398,133.775136,"August",2008-08-01,-0.5,1
"Australia","AU",-25.274398,133.775136,"August",2009-08-01,2.5,1
"Australia","AU",-25.274398,133.775136,"August",2010-08-01,0.3,1
"Australia","AU",-25.274398,133.775136,"August",2011-08-01,1.2,1
"Australia","AU",-25.274398,133.775136,"August",2012-08-01,0.5,1
"Australia","AU",-25.274398,133.775136,"August",2013-08-01,1.8,1
"Australia","AU",-25.274398,133.775136,"August",2014-08-01,0.5,1
"Australia","AU",-25.274398,133.775136,"August",2015-08-01,0.9,1
"Australia","AU",-25.274398,133.775136,"August",2016-08-01,0.7,1
"Australia","AU",-25.274398,133.775136,"August",2017-08-01,1.2,1
"Australia","AU",-25.274398,133.775136,"August",2018-08-01,0.2,1
"Australia","AU",-25.274398,133.775136,"August",2019-08-01,0.4,1
"Australia","AU",-25.274398,133.775136,"September",2000-09-01,1.9,1
"Australia","AU",-25.274398,133.775136,"September",2001-09-01,1.2,1
"Australia","AU",-25.274398,133.775136,"September",2002-09-01,1.3,1
"Australia","AU",-25.274398,133.775136,"September",2003-09-01,1.4,1
"Australia","AU",-25.274398,133.775136,"September",2004-09-01,0,1
"Australia","AU",-25.274398,133.775136,"September",2005-09-01,1.3,1
"Australia","AU",-25.274398,133.775136,"September",2006-09-01,1.4,1
"Australia","AU",-25.274398,133.775136,"September",2007-09-01,1.3,1
"Australia","AU",-25.274398,133.775136,"September",2008-09-01,1.5,1
"Australia","AU",-25.274398,133.775136,"September",2009-09-01,1.4,1
"Australia","AU",-25.274398,133.775136,"September",2010-09-01,0.5,1
"Australia","AU",-25.274398,133.775136,"September",2011-09-01,0.4,1
"Australia","AU",-25.274398,133.775136,"September",2012-09-01,1.3,1
"Australia","AU",-25.274398,133.775136,"September",2013-09-01,2.8,1
"Australia","AU",-25.274398,133.775136,"September",2014-09-01,1.4,1
"Australia","AU",-25.274398,133.775136,"September",2015-09-01,0.6,1
"Australia","AU",-25.274398,133.775136,"September",2016-09-01,0.3,1
"Australia","AU",-25.274398,133.775136,"September",2017-09-01,1.5,1
"Australia","AU",-25.274398,133.775136,"September",2018-09-01,0.9,1
"Australia","AU",-25.274398,133.775136,"September",2019-09-01,1.3,1
"Australia","AU",-25.274398,133.775136,"October",2000-10-01,0.1,1
"Australia","AU",-25.274398,133.775136,"October",2001-10-01,-0.7,1
"Australia","AU",-25.274398,133.775136,"October",2002-10-01,1.1,1
"Australia","AU",-25.274398,133.775136,"October",2003-10-01,-0.3,1
"Australia","AU",-25.274398,133.775136,"October",2004-10-01,1.8,1
"Australia","AU",-25.274398,133.775136,"October",2005-10-01,1.4,1
"Australia","AU",-25.274398,133.775136,"October",2006-10-01,1.5,1
"Australia","AU",-25.274398,133.775136,"October",2007-10-01,1.5,1
"Australia","AU",-25.274398,133.775136,"April",2007-04-01,1,1
"Australia","AU",-25.274398,133.775136,"April",2008-04-01,-0.3,1
"Australia","AU",-25.274398,133.775136,"April",2009-04-01,0.7,1
"Australia","AU",-25.274398,133.775136,"April",2010-04-01,1.5,1
"Australia","AU",-25.274398,133.775136,"April",2011-04-01,-0.3,1
"Australia","AU",-25.274398,133.775136,"April",2012-04-01,0.3,1
"Australia","AU",-25.274398,133.775136,"April",2013-04-01,1.2,1
"Australia","AU",-25.274398,133.775136,"April",2014-04-01,1.3,1
"Australia","AU",-25.274398,133.775136,"April",2015-04-01,-0.4,1
"Australia","AU",-25.274398,133.775136,"April",2016-04-01,2.1,1
"Australia","AU",-25.274398,133.775136,"April",2017-04-01,0.2,1
"Australia","AU",-25.274398,133.775136,"April",2018-04-01,2.3,1
"Australia","AU",-25.274398,133.775136,"April",2019-04-01,1.3,1
