"Country.code","Country","Month.code","Month","2017","2018","2019"
182,"Réunion",7011,"November",1.383,1.396,1.56
182,"Réunion",7012,"December",1.898,1.611,2.411
194,"Saudi Arabia",7001,"January",1.596,0.823,2.676
194,"Saudi Arabia",7002,"February",-1.189,2.848,1.11
194,"Saudi Arabia",7003,"March",1.236,4.034,-0.49
194,"Saudi Arabia",7004,"April",2.839,1.118,0.137
194,"Saudi Arabia",7005,"May",2.272,1.685,1.544
194,"Saudi Arabia",7006,"June",1.99,1.961,2.671
194,"Saudi Arabia",7007,"July",3.294,1.906,1.705
194,"Saudi Arabia",7008,"August",3.213,1.648,1.678
194,"Saudi Arabia",7009,"September",2.202,2.617,2.532
194,"Saudi Arabia",7010,"October",1.527,1.373,2.958
194,"Saudi Arabia",7011,"November",1.826,0.756,1.784
194,"Saudi Arabia",7012,"December",1.309,2.109,1.541
271,"South Georgia and the South Sandwich Islands",7001,"January",-0.013,1.987,1.387
271,"South Georgia and the South Sandwich Islands",7002,"February",0.883,2.083,-0.267
271,"South Georgia and the South Sandwich Islands",7003,"March",-1.425,0.675,-0.125
271,"South Georgia and the South Sandwich Islands",7004,"April",-1.353,1.297,-1.303
271,"South Georgia and the South Sandwich Islands",7005,"May",1.42,-0.23,0.17
271,"South Georgia and the South Sandwich Islands",7006,"June",-0.863,-1.413,-0.013
271,"South Georgia and the South Sandwich Islands",7007,"July",2.212,-0.288,-2.088
271,"South Georgia and the South Sandwich Islands",7008,"August",2.246,1.246,-1.304
271,"South Georgia and the South Sandwich Islands",7009,"September",2.486,0.636,0.036
271,"South Georgia and the South Sandwich Islands",7010,"October",1.311,-0.989,0.611
271,"South Georgia and the South Sandwich Islands",7011,"November",0.815,1.215,1.505
271,"South Georgia and the South Sandwich Islands",7012,"December",2.228,2.378,1.778
216,"Thailand",7001,"January",1.903,1.715,2.136
216,"Thailand",7002,"February",0.741,0.387,2.31
216,"Thailand",7003,"March",0.967,0.448,1.62
216,"Thailand",7004,"April",0.378,-0.239,2.094
216,"Thailand",7005,"May",0.449,0.21,1.54
216,"Thailand",7006,"June",0.796,0.561,1.539
216,"Thailand",7007,"July",0.221,0.454,1.347
216,"Thailand",7008,"August",1.045,0.458,0.766
216,"Thailand",7009,"September",1.257,0.97,0.816
216,"Thailand",7010,"October",1.089,1.374,1.62
216,"Thailand",7011,"November",1.455,2.014,1.683
216,"Thailand",7012,"December",0.878,2.722,1.247
230,"Ukraine",7001,"January",0.069,3.22,1.732
230,"Ukraine",7002,"February",1.917,1.034,4.692
230,"Ukraine",7003,"March",5.68,-1.031,4.518
230,"Ukraine",7004,"April",0.481,4.167,1.429
230,"Ukraine",7005,"May",0.013,3.395,1.882
230,"Ukraine",7006,"June",1.085,1.935,4.269
230,"Ukraine",7007,"July",0.741,1.916,0.34
230,"Ukraine",7008,"August",3.206,2.981,1.712
230,"Ukraine",7009,"September",2.462,2.796,1.61
230,"Ukraine",7010,"October",0.869,2.96,2.864
230,"Ukraine",7011,"November",1.078,-1.112,2.943
230,"Ukraine",7012,"December",4.659,0.422,4.436
242,"Wake Island",7001,"January",0.88,1.18,NA
242,"Wake Island",7002,"February",0.728,0.548,NA
242,"Wake Island",7003,"March",1.033,-0.198,0.683
242,"Wake Island",7004,"April",NA,0.237,1.188
242,"Wake Island",7005,"May",NA,-0.01,0.69
242,"Wake Island",7006,"June",0.484,-0.016,0.734
242,"Wake Island",7007,"July",0.772,-0.408,0.062
242,"Wake Island",7008,"August",0.664,0.624,0.714
242,"Wake Island",7009,"September",0.364,NA,0.864
242,"Wake Island",7010,"October",0.114,-0.006,NA
