"Country","Month","Date","Depth","Day"
"Australia","May",2012-05-01,-0.057,1
"Australia","May",2013-05-01,1.437,1
"Australia","May",2014-05-01,1.956,1
"Australia","May",2015-05-01,0.28,1
"Australia","May",2016-05-01,2.313,1
"Australia","May",2017-05-01,1.048,1
"Australia","May",2018-05-01,0.644,1
"Australia","May",2019-05-01,0.906,1
"Australia","June",2000-06-01,-0.648,1
"Australia","June",2001-06-01,0.902,1
"Australia","June",2002-06-01,0.411,1
"Australia","June",2003-06-01,0.831,1
"Australia","June",2004-06-01,0.688,1
"Australia","June",2005-06-01,1.023,1
"Australia","June",2006-06-01,-0.849,1
"Australia","June",2007-06-01,-1.278,1
"Australia","June",2008-06-01,1.122,1
"Australia","June",2009-06-01,0.708,1
"Australia","June",2010-06-01,0.389,1
"Australia","June",2011-06-01,-0.509,1
"Australia","June",2012-06-01,-0.473,1
"Australia","June",2013-06-01,0.864,1
"Australia","June",2014-06-01,0.555,1
"Australia","June",2015-06-01,1.32,1
"Australia","June",2016-06-01,1.283,1
"Australia","June",2017-06-01,0.526,1
"Australia","June",2018-06-01,0.33,1
"Australia","June",2019-06-01,0.275,1
"Australia","July",2000-07-01,0.741,1
"Australia","July",2001-07-01,0.643,1
"Australia","July",2002-07-01,0.535,1
"Australia","July",2003-07-01,0.988,1
"Australia","July",2004-07-01,0.455,1
"Australia","July",2005-07-01,1.256,1
"Australia","July",2006-07-01,0.162,1
"Australia","July",2007-07-01,0.378,1
"Australia","July",2008-07-01,0.415,1
"Australia","July",2009-07-01,0.896,1
"Australia","July",2010-07-01,1.167,1
"Australia","July",2011-07-01,0.726,1
"Australia","July",2012-07-01,-0.12,1
"Australia","July",2013-07-01,1.608,1
"Australia","July",2014-07-01,0.462,1
"Australia","July",2015-07-01,0.583,1
"Australia","July",2016-07-01,1.138,1
"Australia","July",2017-07-01,1.761,1
"Australia","July",2018-07-01,1.237,1
"Australia","July",2019-07-01,1.47,1
"Australia","August",2000-08-01,0.319,1
"Australia","August",2001-08-01,0.298,1
"Australia","August",2002-08-01,0.421,1
"Australia","August",2003-08-01,0.74,1
"Australia","August",2004-08-01,0.112,1
"Australia","August",2005-08-01,0.614,1
"Australia","August",2006-08-01,1.205,1
"Australia","August",2007-08-01,1.188,1
"Australia","August",2008-08-01,-0.538,1
"Australia","August",2009-08-01,2.546,1
"Australia","August",2010-08-01,0.28,1
"Australia","August",2011-08-01,1.244,1
"Australia","August",2012-08-01,0.493,1
"Australia","August",2013-08-01,1.764,1
"Australia","August",2014-08-01,0.475,1
"Australia","August",2015-08-01,0.869,1
"Australia","August",2016-08-01,0.706,1
"Australia","August",2017-08-01,1.198,1
"Australia","August",2018-08-01,0.191,1
"Australia","August",2019-08-01,0.434,1
"Australia","September",2000-09-01,1.863,1
"Australia","September",2001-09-01,1.198,1
"Australia","September",2002-09-01,1.257,1
"Australia","September",2003-09-01,1.385,1
"Australia","September",2004-09-01,0.011,1
